original,intermediate,back_translated,target_lang,success,category,similarity,original_words,back_words,word_change_pct,orig_punct,back_punct,punct_lost,meaning_status
thousands of students forced to attend iowa state after university sets acceptance rate to 140%,des milliers d'étudiants sont contraints de fréquenter l'État de l'Iowa après que l'université a fixé le taux d'acceptation à 140 %,thousands of students forced to attend Iowa State after university sets acceptance rate at 140%,fr,True,sarcasm,98.95,15,15,0.0,0,0,0,preserved
pence tells emotional story of longtime friend who was aborted after second trimester,ペンス氏、妊娠中期後に中絶された長年の友人の感動的な話を語る,Pence shares moving story of longtime friend who had abortion after second trimester,ja,True,sarcasm,86.39,13,13,0.0,0,0,0,preserved
pence tells emotional story of longtime friend who was aborted after second trimester,पेंस अपने पुराने दोस्त की भावनात्मक कहानी बताते हैं जिसका दूसरी तिमाही के बाद गर्भपात हो गया था,Pence tells emotional story of his old friend who had an abortion after the second trimester,hi,True,sarcasm,83.62,13,16,23.08,0,0,0,partial_loss
pence tells emotional story of longtime friend who was aborted after second trimester,pence raconte l'histoire émouvante d'une amie de longue date qui a avorté après le deuxième trimestre,pence shares moving story of longtime friend who had an abortion after the second trimester,fr,True,sarcasm,82.95,13,15,15.38,0,0,0,partial_loss
disembodied voice in elevator wants to know way to san jose,エレベーター内での肉体のない声がサンノゼまでの道を知りたがっている,A disembodied voice in the elevator wants directions to San Jose.,ja,True,sarcasm,82.26,11,11,0.0,0,0,0,partial_loss
disembodied voice in elevator wants to know way to san jose,लिफ्ट में अशरीरी आवाज सैन जोस का रास्ता जानना चाहती है,Disembodied voice in elevator wants to know the way to San Jose,hi,True,sarcasm,96.72,11,12,9.09,0,0,0,preserved
disembodied voice in elevator wants to know way to san jose,une voix désincarnée dans l'ascenseur veut savoir comment se rendre à San José,a disembodied voice in the elevator wants to know how to get to San José,fr,True,sarcasm,85.5,11,15,36.36,0,0,0,preserved
outfit just screams police officer,संगठन सिर्फ पुलिस अधिकारी चिल्लाता है,Organization just screams police officer,hi,True,sarcasm,83.78,5,5,0.0,0,0,0,partial_loss
rookie usda agent vomits after seeing first rotten orange,USDAの新人職員、初めて腐ったオレンジを見て嘔吐,New USDA employee vomits after seeing rotten orange for the first time,ja,True,sarcasm,66.14,9,12,33.33,0,0,0,partial_loss
rookie usda agent vomits after seeing first rotten orange,पहला सड़ा हुआ संतरा देखने के बाद नौसिखिए यूएसडीए एजेंट को उल्टी हो गई,Rookie USDA agent vomited after seeing first rotten orange,hi,True,sarcasm,97.39,9,9,0.0,0,0,0,preserved
rookie usda agent vomits after seeing first rotten orange,Un agent recrue de l'USDa vomit après avoir vu la première orange pourrie,Rookie USDa Agent Vomits After Seeing First Rotten Orange,fr,True,sarcasm,100.0,9,9,0.0,0,0,0,preserved
area man's life comes to tragic middle,地域の男性の人生は悲劇のどん底に陥る,The life of a local man falls into the depths of tragedy.,ja,True,sarcasm,40.0,7,12,71.43,1,0,1,significant_loss
area man's life comes to tragic middle,क्षेत्र के व्यक्ति का जीवन दुखद मध्य में आ जाता है,The area man's life comes to a tragic halt,hi,True,sarcasm,82.5,7,9,28.57,1,1,0,partial_loss
area man's life comes to tragic middle,la vie d'un homme arrive à un milieu tragique,a man's life comes to a tragic middle,fr,True,sarcasm,93.33,7,8,14.29,1,1,0,preserved
bandai recalls lady gaga,バンダイがレディー・ガガを思い出す,Bandai remembers Lady Gaga,ja,True,sarcasm,80.0,4,4,0.0,0,0,0,partial_loss
bandai recalls lady gaga,बंदई ने लेडी गागा को याद किया,Bandai remembers Lady Gaga,hi,True,sarcasm,80.0,4,4,0.0,0,0,0,partial_loss
bandai recalls lady gaga,Bandai rappelle Lady Gaga,Bandai recalls Lady Gaga,fr,True,sarcasm,100.0,4,4,0.0,0,0,0,preserved
bill clinton waiting until after primaries to endorse candidate,ビル・クリントン氏、予備選後まで候補者支持を待つ,Bill Clinton waits to endorse candidate until after primaries,ja,True,sarcasm,64.52,9,9,0.0,0,0,0,partial_loss
bill clinton waiting until after primaries to endorse candidate,बिल क्लिंटन उम्मीदवार का समर्थन करने के लिए प्राइमरी के बाद तक प्रतीक्षा कर रहे हैं,Bill Clinton is waiting until after the primaries to endorse the candidate,hi,True,sarcasm,91.97,9,12,33.33,0,0,0,preserved
bill clinton waiting until after primaries to endorse candidate,Bill Clinton attend la fin des primaires pour soutenir son candidat,Bill Clinton waits until the end of the primaries to support his candidate,fr,True,sarcasm,78.83,9,13,44.44,0,0,0,partial_loss
'game of thrones' fans shocked after some little goblin or something killed off in last night's episode,昨夜のエピソードで小さなゴブリンか何かが殺され、「ゲーム・オブ・スローンズ」ファンはショックを受けた,'Game of Thrones' fans were shocked when a little goblin or something was killed in last night's episode,ja,True,sarcasm,86.96,17,18,5.88,3,3,0,preserved
'game of thrones' fans shocked after some little goblin or something killed off in last night's episode,'गेम ऑफ थ्रोन्स' के प्रशंसक कल रात के एपिसोड में कुछ छोटे भूत या किसी चीज़ के मारे जाने से सदमे में हैं,'Game of Thrones' fans are in shock after some little ghost or something got killed in last night's episode,hi,True,sarcasm,88.57,17,19,11.76,3,3,0,preserved
'game of thrones' fans shocked after some little goblin or something killed off in last night's episode,"Les fans de ""Game of Thrones"" sont choqués après la mort d'un petit gobelin ou de quelque chose dans l'épisode d'hier soir",'Game of Thrones' fans are shocked after a little goblin or something died in last night's episode,fr,True,sarcasm,91.54,17,17,0.0,3,3,0,preserved
playtex unveils new line of quick-dissolving tampons,プレイテックスが速溶性タンポンの新ラインを発表,Playtex launches new line of fast-dissolving tampons,ja,True,sarcasm,84.62,7,7,0.0,1,1,0,partial_loss
playtex unveils new line of quick-dissolving tampons,प्लेटेक्स ने जल्दी घुलने वाले टैम्पोन की नई श्रृंखला का अनावरण किया,Playtex unveils new line of quick-dissolving tampons,hi,True,sarcasm,100.0,7,7,0.0,1,1,0,preserved
playtex unveils new line of quick-dissolving tampons,Playtex dévoile une nouvelle gamme de tampons à dissolution rapide,Playtex unveils new range of fast-dissolving tampons,fr,True,sarcasm,86.54,7,7,0.0,1,1,0,preserved
disney begins uploading obama's consciousness to hall of presidents robot,ディズニーがオバマ大統領の意識を大統領ホールのロボットにアップロードし始める,Disney begins uploading President Obama's consciousness to robot in Hall of Presidents,ja,True,sarcasm,84.28,10,12,20.0,1,1,0,partial_loss
disney begins uploading obama's consciousness to hall of presidents robot,डिज़्नी ने ओबामा की चेतना को हॉल ऑफ़ प्रेसिडेंट्स रोबोट पर अपलोड करना शुरू किया,Disney begins uploading Obama's consciousness to the Hall of Presidents robot,hi,True,sarcasm,97.33,10,11,10.0,1,1,0,preserved
disney begins uploading obama's consciousness to hall of presidents robot,Disney commence à télécharger la conscience d'Obama sur le robot de la salle des présidents,Disney begins uploading Obama's consciousness to Hall of Presidents robot,fr,True,sarcasm,100.0,10,10,0.0,1,1,0,preserved
idea to see mario van peebles movie occurs to no one,マリオ・ヴァン・ピーブルズの映画を見ようという考えは誰も思いつかない,No one would think of watching a Mario Van Peebles movie.,ja,True,sarcasm,53.21,11,11,0.0,0,0,0,significant_loss
idea to see mario van peebles movie occurs to no one,मारियो वैन पीबल्स की फिल्म देखने का विचार किसी के मन में नहीं आता,Nobody's thinking about watching a Mario Van Peebles movie,hi,True,sarcasm,52.73,11,9,-18.18,0,1,-1,significant_loss
idea to see mario van peebles movie occurs to no one,L'idée de voir le film de Mario Van Peebles ne vient à l'esprit de personne,The idea of ​​seeing Mario Van Peebles' film never crosses anyone's mind,fr,True,sarcasm,61.29,11,12,9.09,0,2,-2,partial_loss
christopher plummer probably nailing it in 'king lear' somewhere,クリストファー・プラマーはおそらく「リア王」のどこかでそれを釘付けにしたでしょう,Christopher Plummer probably nailed it somewhere in 'King Lear',ja,True,sarcasm,80.31,9,9,0.0,2,2,0,partial_loss
christopher plummer probably nailing it in 'king lear' somewhere,क्रिस्टोफर प्लमर शायद इसे कहीं न कहीं 'किंग लियर' में पेश कर रहे हैं,Christopher Plummer is probably performing it somewhere in 'King Lear',hi,True,sarcasm,74.63,9,10,11.11,2,2,0,partial_loss
christopher plummer probably nailing it in 'king lear' somewhere,Christopher Plummer l'a probablement cloué quelque part dans 'King Lear',Christopher Plummer probably nailed it somewhere in 'King Lear',fr,True,sarcasm,80.31,9,9,0.0,2,2,0,partial_loss
"new legislation would shut down u.s. education system, give each american student $3,000 to start own small business","新しい法律は米国を閉鎖するだろう教育システム、アメリカの学生一人一人に小規模ビジネスを立ち上げるために 3,000 ドルを与える","New law would shut down US education system, give each American student $3,000 to start a small business",ja,True,sarcasm,92.73,18,18,0.0,0,0,0,preserved
"new legislation would shut down u.s. education system, give each american student $3,000 to start own small business","नया कानून हमें बंद कर देगा शिक्षा प्रणाली, प्रत्येक अमेरिकी छात्र को अपना छोटा व्यवसाय शुरू करने के लिए $3,000 दें","New law will shut down our education system, give every American student $3,000 to start their own small business",hi,True,sarcasm,85.59,18,19,5.56,0,0,0,preserved
"new legislation would shut down u.s. education system, give each american student $3,000 to start own small business","une nouvelle législation nous fermerait. système éducatif, donnez 3 000 $ à chaque étudiant américain pour démarrer sa propre petite entreprise","new legislation would shut us down. education system, give $3,000 to every American student to start their own small business",fr,True,sarcasm,84.65,18,20,11.11,0,0,0,partial_loss
dan fogelberg fails to soothe area lite 108 listener,ダン・フォーゲルバーグはエリアライト108のリスナーをなだめることができなかった,Dan Fogelberg couldn't appease Area Light 108 listeners,ja,True,sarcasm,72.9,9,8,-11.11,0,1,-1,partial_loss
dan fogelberg fails to soothe area lite 108 listener,डैन फोगेलबर्ग क्षेत्र लाइट 108 श्रोता को शांत करने में विफल रहे,Dan Fogelberg fails to placate Area Light 108 listener,hi,True,sarcasm,88.68,9,9,0.0,0,0,0,preserved
dan fogelberg fails to soothe area lite 108 listener,Dan Fogelberg ne parvient pas à apaiser l'auditeur de Area Lite 108,Dan Fogelberg fails to appease Area Lite 108 listener,fr,True,sarcasm,91.43,9,9,0.0,0,0,0,preserved
limited-edition russet potato comes with certificate of authenticity,限定版ラセットポテトには証明書が付属します,Limited Edition Russet Potatoes come with a certificate of authenticity,ja,True,sarcasm,94.96,8,10,25.0,1,0,1,preserved
limited-edition russet potato comes with certificate of authenticity,सीमित-संस्करण रसेट आलू प्रामाणिकता प्रमाणपत्र के साथ आता है,Limited-edition Russet potatoes come with a certificate of authenticity,hi,True,sarcasm,96.4,8,9,12.5,1,1,0,preserved
limited-edition russet potato comes with certificate of authenticity,pomme de terre rousse en édition limitée livrée avec un certificat d'authenticité,limited edition red potato delivered with a certificate of authenticity,fr,True,sarcasm,84.89,8,10,25.0,1,0,1,partial_loss
trump claims waterboarding doesn't come close to the excruciating torment he experiences at every moment,トランプ大統領、水責めは自分が常に経験する耐え難い苦痛には及ばないと主張,President Trump says waterboarding doesn't come close to the excruciating pain he regularly experiences,ja,True,sarcasm,75.36,15,14,-6.67,1,1,0,partial_loss
trump claims waterboarding doesn't come close to the excruciating torment he experiences at every moment,ट्रम्प का दावा है कि वॉटरबोर्डिंग उस कष्टदायी पीड़ा के करीब नहीं है जो वह हर पल अनुभव करते हैं,Trump claims waterboarding doesn't come close to the excruciating pain he experiences every moment,hi,True,sarcasm,94.06,15,14,-6.67,1,1,0,preserved
trump claims waterboarding doesn't come close to the excruciating torment he experiences at every moment,Trump affirme que la simulation de noyade n'est pas comparable aux tourments atroces qu'il subit à chaque instant,Trump says simulated drowning is no comparison to the excruciating torment he endures every moment,fr,True,sarcasm,72.28,15,15,0.0,1,0,1,partial_loss
"closeted soldiers getting in last clandestine rendezvous before 'don't ask, don't tell' repealed",「尋ねるな、言わない」が廃止される前に、最後の密会に参加する密室の兵士たち,"Soldiers behind closed doors participate in one last secret meeting before ""Don't Ask, Don't Tell"" is repealed",ja,True,sarcasm,62.14,13,17,30.77,4,4,0,partial_loss
"closeted soldiers getting in last clandestine rendezvous before 'don't ask, don't tell' repealed","'मत पूछो, मत बताओ' निरस्त होने से पहले बंद सैनिकों की अंतिम गुप्त मुलाकात में शामिल होना","Attending the last secret meeting of captive soldiers before 'Don't Ask, Don't Tell' was repealed.",hi,True,sarcasm,55.67,13,15,15.38,4,4,0,significant_loss
"closeted soldiers getting in last clandestine rendezvous before 'don't ask, don't tell' repealed","les soldats enfermés se rendent au dernier rendez-vous clandestin avant l'abrogation de la formule « ne demandez pas, ne dites pas »","Locked-up soldiers go to last clandestine meeting before 'don't ask, don't tell' is repealed",fr,True,sarcasm,80.85,13,14,7.69,4,5,-1,partial_loss
glitch in country allows citizens to temporarily walk through tables,国の不具合により、国民がテーブルの間を一時的に通り抜けられるようになる,Country glitch allows citizens to temporarily pass between tables,ja,True,sarcasm,70.68,10,9,-10.0,0,0,0,partial_loss
glitch in country allows citizens to temporarily walk through tables,देश में गड़बड़ी नागरिकों को अस्थायी रूप से टेबल के माध्यम से चलने की अनुमति देती है,Disturbances in the country allow citizens to temporarily walk through tables,hi,True,sarcasm,88.28,10,11,10.0,0,0,0,preserved
glitch in country allows citizens to temporarily walk through tables,un problème dans le pays permet aux citoyens de parcourir temporairement les tables,a glitch in the country allows citizens to temporarily browse tables,fr,True,sarcasm,85.29,10,11,10.0,0,0,0,preserved
gus van sant prepares shot-for-shot teen wolf remake,ガス・ヴァン・サント、『ティーン・ウルフ』のリメイク版を準備中,Gus Van Sant is preparing a remake of 'Teen Wolf',ja,True,sarcasm,65.35,8,10,25.0,2,2,0,partial_loss
gus van sant prepares shot-for-shot teen wolf remake,गस वैन सैंट शॉट-फॉर-शॉट टीन वुल्फ रीमेक तैयार कर रहे हैं,Gus Van Sant is preparing a shot-for-shot Teen Wolf remake,hi,True,sarcasm,90.91,8,10,25.0,2,2,0,preserved
gus van sant prepares shot-for-shot teen wolf remake,Gus Van Sant prépare un remake plan pour plan de Teen Wolf,Gus Van Sant is preparing a shot-for-shot remake of Teen Wolf,fr,True,sarcasm,76.11,8,11,37.5,2,2,0,partial_loss
students excited to see slate of notable speakers who will be disinvited to campus this year,学生たちは、今年キャンパスに招待されない著名な講演者の予定を見て興奮している,Students are excited to see the schedule of prominent speakers who will not be invited to campus this year,ja,True,sarcasm,82.83,16,19,18.75,0,0,0,partial_loss
students excited to see slate of notable speakers who will be disinvited to campus this year,छात्र उन उल्लेखनीय वक्ताओं की सूची देखने के लिए उत्साहित हैं जिन्हें इस वर्ष परिसर में आमंत्रित नहीं किया जाएगा,Students are excited to see the list of notable speakers who will not be invited to campus this year,hi,True,sarcasm,89.58,16,19,18.75,0,0,0,preserved
students excited to see slate of notable speakers who will be disinvited to campus this year,les étudiants sont ravis de voir une liste d'orateurs notables qui ne seront pas invités sur le campus cette année,students are excited to see a list of notable speakers who will not be invited to campus this year,fr,True,sarcasm,90.53,16,19,18.75,0,0,0,preserved
shelter dog eating own shit not exactly doing itself any favors,保護犬が自分のうんこを食べるのは、自分自身に何の恩恵も与えていない,"When a rescue dog eats his own poop, he's not doing himself any favors.",ja,True,sarcasm,67.16,11,14,27.27,0,1,-1,partial_loss
shelter dog eating own shit not exactly doing itself any favors,आश्रय कुत्ता अपनी ही गंदगी खा रहा है और वास्तव में खुद पर कोई उपकार नहीं कर रहा है,Shelter dog eating his own shit and really not doing himself any favors,hi,True,sarcasm,80.6,11,13,18.18,0,0,0,partial_loss
shelter dog eating own shit not exactly doing itself any favors,un chien de refuge mange sa propre merde et ne se rend pas vraiment service,shelter dog eats his own poop and doesn't really do himself any favors,fr,True,sarcasm,70.68,11,13,18.18,0,1,-1,partial_loss
sarah huckabee sanders strongly rebukes implication she doesn't lock own children in cages,サラ・ハッカビー・サンダース、自分の子供たちを檻に閉じ込めていないことを示唆すると強く非難,Sarah Huckabee Sanders slammed for suggesting she doesn't keep her children in cages,ja,True,sarcasm,68.97,13,13,0.0,1,1,0,partial_loss
sarah huckabee sanders strongly rebukes implication she doesn't lock own children in cages,सारा हकाबी सैंडर्स ने कड़ी फटकार लगाते हुए कहा कि वह अपने बच्चों को पिंजरे में बंद नहीं करतीं,"Sarah Huckabee Sanders lashes out, says she doesn't keep her kids in cages",hi,True,sarcasm,67.07,13,13,0.0,1,1,0,partial_loss
sarah huckabee sanders strongly rebukes implication she doesn't lock own children in cages,Sarah Huckabee Sanders réprimande fermement l'implication selon laquelle elle n'enferme pas ses propres enfants dans des cages,Sarah Huckabee Sanders strongly rebukes implication she doesn't lock her own children in cages,fr,True,sarcasm,97.83,13,14,7.69,1,1,0,preserved
report: purchasing items from onion store most important way to either stop or help donald trump,レポート: ドナルド・トランプを止めるか助けるための最も重要な方法はオニオン・ストアからの商品購入です,Report: The most important way to stop or help Donald Trump is to buy from The Onion Store,ja,True,sarcasm,62.37,16,18,12.5,1,1,0,partial_loss
report: purchasing items from onion store most important way to either stop or help donald trump,रिपोर्ट: डोनाल्ड ट्रंप को रोकने या मदद करने का सबसे महत्वपूर्ण तरीका प्याज की दुकान से सामान खरीदना,Report: The most important way to stop or help Donald Trump is to buy goods from Onion Store,hi,True,sarcasm,61.7,16,18,12.5,1,1,0,partial_loss
report: purchasing items from onion store most important way to either stop or help donald trump,"rapport : acheter des articles dans un magasin d'oignons, le moyen le plus important d'arrêter ou d'aider Donald Trump",Report: Buying Items From An Onion Store The Most Important Way To Stop Or Help Donald Trump,fr,True,sarcasm,88.3,16,17,6.25,1,1,0,preserved
unattractive man not fooling anyone by dressing well,魅力のない男は着飾っても誰もだまさない,An unattractive man won't fool anyone even if he dresses up.,ja,True,sarcasm,69.64,8,11,37.5,0,1,-1,partial_loss
unattractive man not fooling anyone by dressing well,अनाकर्षक आदमी अच्छे कपड़े पहनकर किसी को बेवकूफ नहीं बनाता,An unattractive man doesn't fool anyone by wearing nice clothes.,hi,True,sarcasm,72.41,8,10,25.0,0,1,-1,partial_loss
unattractive man not fooling anyone by dressing well,homme peu attrayant qui ne trompe personne en s'habillant bien,unattractive man who fools no one by dressing well,fr,True,sarcasm,88.24,8,9,12.5,0,0,0,preserved
republicans' 'diversity through imported africans' plan criticized,共和党の「輸入アフリカ人による多様性」計画が批判される,Republican Party's 'imported African diversity' plan criticized,ja,True,sarcasm,72.87,7,7,0.0,3,3,0,partial_loss
republicans' 'diversity through imported africans' plan criticized,रिपब्लिकन की 'आयातित अफ्रीकियों के माध्यम से विविधता' योजना की आलोचना की गई,Republicans' 'diversification through imported Africans' plan criticized,hi,True,sarcasm,94.2,7,7,0.0,3,3,0,preserved
republicans' 'diversity through imported africans' plan criticized,Le plan des Républicains sur la « diversité grâce aux Africains importés » critiqué,Republican plan on “diversity thanks to imported Africans” criticized,fr,True,sarcasm,78.52,7,9,28.57,3,0,3,partial_loss
trump called up for vietnam service after last of draft deferments expires,トランプ氏、最後の徴兵猶予期限切れ後、ベトナム勤務に招集,Trump called up to serve in Vietnam after last draft deferment expires,ja,True,sarcasm,84.72,12,12,0.0,0,0,0,partial_loss
trump called up for vietnam service after last of draft deferments expires,अंतिम मसौदा स्थगन समाप्त होने के बाद ट्रम्प ने वियतनाम सेवा के लिए बुलाया,Trump called for Vietnam service after final draft moratorium expires,hi,True,sarcasm,79.72,12,10,-16.67,0,0,0,partial_loss
trump called up for vietnam service after last of draft deferments expires,Trump appelé au service du Vietnam après l'expiration du dernier ajournement du projet,Trump called to Vietnam duty after final draft deferment expires,fr,True,sarcasm,79.71,12,10,-16.67,0,0,0,partial_loss
bannon's cyst finally ruptures,バノン嚢胞がついに破裂,Bannon's cyst finally ruptures,ja,True,sarcasm,100.0,4,4,0.0,1,1,0,preserved
